id,nome,calcio_mg,ferro_mg,zinco_mg,magnesio_mg,fosforo_mg,potassio_mg,selenio_ug,vitamina_a_ug,vitamina_d_ug,vitamina_e_mg,vitamina_c_mg,vitamina_b1_mg,vitamina_b2_mg,vitamina_b3_mg,vitamina_b6_mg,vitamina_b9_ug,vitamina_b12_ug,confidence,source_detail
519,Pecorino romano DOP,1064,0.8,3.6,40,760,100,15.0,147,0.5,0.4,0,0.04,0.37,0.1,0.09,5,1.5,high,CREA 2019 pecorino romano
520,Pecorino stagionato,950,0.7,3.3,38,700,95,14.5,180,0.5,0.35,0,0.04,0.35,0.1,0.08,5,1.4,high,CREA 2019 pecorino
523,Provolone,756,0.5,3.2,28,496,138,14.5,233,0.5,0.28,0,0.02,0.32,0.2,0.07,10,1.46,high,USDA FDC provolone
535,Quark (fiocchi proteici 0.2%),86,0.1,0.5,9,160,105,9.7,3,0.01,0.01,0,0.02,0.22,0.2,0.05,17,0.5,high,USDA FDC quark
876,Ricotta al forno (siciliana),250,0.5,1.5,13,180,110,6.0,90,0.3,0.12,0,0.02,0.2,0.1,0.03,10,0.5,medium,CREA 2019 ricotta al forno stima
528,Ricotta di pecora,160,0.4,1.2,11,140,100,3.5,120,0.3,0.15,0,0.02,0.18,0.1,0.03,12,0.5,high,CREA 2019 ricotta pecora
538,Ricotta vaccina (light < 8%g),207,0.4,1.2,11,158,105,14.5,44,0.2,0.05,0,0.01,0.19,0.1,0.02,12,0.34,high,USDA FDC ricotta part-skim
532,Robiola,180,0.2,1.3,9,150,60,5.0,160,0.3,0.18,0,0.02,0.19,0.15,0.03,15,0.5,medium,CREA 2019 robiola
765,Scamorza affumicata,575,0.3,2.8,20,410,70,10.0,180,0.3,0.25,0,0.02,0.25,0.1,0.06,7,1.3,medium,CREA 2019 scamorza
768,Squacquerone di Romagna DOP,270,0.1,1.5,9,180,60,6.0,200,0.3,0.18,0,0.02,0.19,0.15,0.04,16,0.55,medium,CREA 2019 stima crescenza
767,Stracchino (crescenza fresca),295,0.1,1.7,10,200,65,7.0,230,0.3,0.2,0,0.02,0.2,0.2,0.04,18,0.6,high,CREA 2019 crescenza
525,Taleggio DOP,433,0.3,2.4,18,328,89,14.5,260,0.5,0.35,0,0.02,0.34,0.1,0.07,18,1.5,high,CREA 2019 taleggio
943,Yogurt al frutto di bosco (magro),135,0.1,0.5,13,110,175,2.8,2,0.01,0.01,0.5,0.04,0.18,0.1,0.05,10,0.42,medium,CREA 2019 yogurt magro frutta
774,"Yogurt di capra, intero",170,0.1,0.4,14,120,210,1.7,50,0.1,0.03,1.2,0.04,0.14,0.3,0.05,6,0.1,medium,USDA FDC goat milk yogurt
516,Yogurt greco 2% grassi,110,0.1,0.5,11,130,141,9.7,5,0.01,0.03,0,0.02,0.27,0.2,0.06,7,0.75,high,USDA FDC Greek yogurt lowfat
875,Yogurt greco proteico (15g prot/100g),120,0.1,0.6,12,150,160,10.0,3,0.01,0.02,0,0.03,0.3,0.2,0.07,8,0.8,medium,USDA FDC Greek yogurt high-protein
514,Yogurt intero con frutta,130,0.1,0.5,12,100,165,2.2,12,0.04,0.03,0.6,0.04,0.15,0.1,0.04,8,0.35,high,CREA 2019 yogurt frutta
515,Yogurt magro bianco,140,0.1,0.6,14,116,186,3.3,2,0.01,0.01,0.7,0.04,0.2,0.1,0.05,11,0.45,high,CREA 2019 yogurt magro
