id,nome,calcio_mg,ferro_mg,zinco_mg,magnesio_mg,fosforo_mg,potassio_mg,selenio_ug,vitamina_a_ug,vitamina_d_ug,vitamina_e_mg,vitamina_c_mg,vitamina_b1_mg,vitamina_b2_mg,vitamina_b3_mg,vitamina_b6_mg,vitamina_b9_ug,vitamina_b12_ug,confidence,source_detail
237,Crusca di frumento,73,10.6,7.3,611,1013,1182,77.6,0,0,1.49,0,0.52,0.58,13.6,1.3,79,0,high,CREA 2019
823,Fagioli al pomodoro (in scatola),55,1.8,0.9,40,100,280,1,10,0,0.15,3,0.08,0.05,0.4,0.06,40,0,medium,USDA FDC baked beans
658,"Fagioli all'occhio, cotti",24,2.5,1.1,53,156,278,2.5,4,0,0.28,0.4,0.2,0.06,0.5,0.1,208,0,high,USDA FDC black-eyed peas cooked
297,"Fagioli azuki, cotti",28,2.0,1.8,52,168,532,1.2,0,0,0.06,0,0.12,0.06,0.7,0.1,121,0,high,USDA FDC adzuki beans cooked
294,"Fagioli cannellini, secchi",240,10.4,3.7,190,460,1795,12.8,0,0,0.21,0,0.44,0.15,1.4,0.32,364,0,high,USDA FDC white beans dry
655,"Fagioli di Lamon, cotti",50,2.5,1.0,55,140,400,1.5,0,0,0.1,0.5,0.15,0.06,0.5,0.09,120,0,medium,CREA 2019 fagioli borlotti
298,"Fagioli di Spagna, cotti",46,2.2,0.9,55,101,454,1.1,0,0,0.05,0,0.14,0.06,0.5,0.09,78,0,high,USDA FDC lima beans cooked
290,"Fagioli di soia (edamame sgranati, crudi)",63,2.3,1.4,64,169,436,0.8,9,0,0.68,6.1,0.2,0.16,1.3,0.1,303,0,high,USDA FDC edamame raw
301,"Fagioli mung, cotti",27,1.4,0.8,48,99,266,2.5,1,0,0.15,1,0.16,0.06,0.6,0.07,159,0,high,USDA FDC mung beans cooked
289,"Fagioli neri, cotti",27,2.1,1.1,70,140,355,1.2,0,0,0.12,0,0.24,0.06,0.5,0.07,149,0,high,USDA FDC black beans cooked
906,Fagiolini in scatola (sgocciolati),28,0.8,0.2,13,20,100,0.4,25,0,0.3,5,0.04,0.06,0.3,0.04,22,0,medium,USDA FDC canned green beans
656,"Fagiolini piattoni, cotti",37,1.0,0.2,18,25,146,0.6,35,0,0.39,9.7,0.08,0.1,0.5,0.07,33,0,high,USDA FDC green beans cooked
245,Farina di castagne,50,2.9,0.8,74,131,847,1.2,1,0,0.5,0,0.24,0.38,1.1,0.41,70,0,high,CREA 2019
240,Farina di ceci,45,4.9,2.8,166,318,846,8.3,3,0,0.8,0,0.49,0.1,1.6,0.49,437,0,high,USDA FDC chickpea flour
242,Farina di cocco,26,3.6,2.0,90,196,660,14.3,0,0,0.7,1,0.05,0.1,0.5,0.3,20,0,high,USDA FDC coconut flour
634,Farina di grano saraceno,41,4.1,3.1,251,337,577,5.7,0,0,0.32,0,0.42,0.19,6.2,0.58,54,0,high,USDA FDC buckwheat flour
632,Farina di lupini,176,4.4,4.8,198,440,1013,8.2,1,0,0.5,4.8,0.6,0.22,2.0,0.36,355,0,high,USDA FDC lupin flour
244,Farina di mais (maizena),2,0.5,0.1,3,13,3,0.7,0,0,0,0,0,0,0,0,0,0,high,CREA 2019 amido di mais
241,Farina di mandorle,269,3.7,3.1,270,481,733,4.1,0,0,25.6,0,0.21,1.14,3.6,0.14,44,0,high,USDA FDC almond flour
243,Farina di riso,10,0.4,0.8,35,98,76,15.1,0,0,0.11,0,0.14,0.02,2.6,0.44,4,0,high,USDA FDC rice flour white
633,Farina di soia sgrassata,241,9.2,4.0,290,674,2490,7.5,2,0,0.5,0,0.7,0.25,2.6,0.58,305,0,high,USDA FDC soy flour defatted
815,"Farro spelta, chicchi crudi",27,4.4,3.3,136,401,388,11.7,0,0,0.79,0,0.36,0.11,6.8,0.23,45,0,high,USDA FDC spelt uncooked
659,"Fave fresche, crude",37,1.5,1.0,33,125,332,1.4,4,0,0.09,3.7,0.17,0.11,1.5,0.1,148,0,high,USDA FDC fava beans raw
651,Fetta biscottata alla frutta,30,1.2,0.5,18,75,130,12,0,0,0.6,0,0.1,0.05,1.2,0.05,16,0,medium,CREA 2019 fette bisc est
275,Fette biscottate classiche,32,1.5,0.7,22,90,120,20,0,0,0.9,0,0.14,0.07,1.8,0.06,22,0,high,CREA 2019
282,Fette biscottate senza glutine,25,1.0,0.5,12,50,60,3,0,0,0.5,0,0.06,0.03,0.8,0.03,8,0,medium,USDA FDC gf crackers
248,Fiocchi di farro,25,3.6,2.8,120,340,350,10,0,0,0.6,0,0.3,0.1,5.5,0.2,38,0,medium,CREA 2019 farro
246,Fiocchi di orzo,30,3.0,2.3,115,230,400,30,0,0,0.5,0,0.55,0.25,4.0,0.28,16,0,medium,CREA 2019 orzo
630,Fiocchi di quinoa,47,4.6,3.1,197,457,563,8.5,1,0,2.44,0,0.36,0.32,1.5,0.49,184,0,high,USDA FDC quinoa
247,Fiocchi di segale,24,2.6,2.7,110,332,510,35,0,0,0.96,0,0.32,0.25,4.3,0.29,38,0,medium,CREA 2019 segale
646,Focaccia genovese,25,1.0,0.6,18,70,100,15,0,0,2.0,0,0.1,0.05,1.3,0.05,22,0,medium,CREA 2019 focaccia
229,"Frumento duro, semola",17,1.2,1.0,47,136,186,63.2,0,0,0.5,0,0.28,0.1,3.1,0.1,72,0,high,CREA 2019
627,"Frumento tenero, farina 0",17,1.0,0.8,22,100,126,12,0,0,0.1,0,0.14,0.04,1.5,0.06,28,0,high,CREA 2019
227,"Frumento tenero, farina 00",15,0.7,0.6,17,76,108,10.7,0,0,0.06,0,0.1,0.03,1.0,0.04,22,0,high,CREA 2019
628,"Frumento tenero, farina 1",20,1.4,1.0,35,140,160,15,0,0,0.2,0,0.22,0.06,2.2,0.1,33,0,high,CREA 2019
629,"Frumento tenero, farina 2 (semintegrale)",25,2.0,1.5,55,200,230,20,0,0,0.4,0,0.3,0.1,3.5,0.15,40,0,high,CREA 2019
228,"Frumento tenero, farina integrale",34,3.9,2.9,138,357,405,61.8,0,0,0.71,0,0.5,0.17,6.4,0.41,44,0,high,CREA 2019
239,Germe di grano,39,6.3,12.3,239,842,892,79.2,0,0,15.0,0,1.88,0.5,6.8,1.3,281,0,high,CREA 2019
255,"Gnocchi di patate, cotti",7,0.4,0.3,11,30,170,0.7,0,0,0.04,5,0.06,0.02,0.8,0.12,6,0,medium,CREA 2019 gnocchi
265,"Grano saraceno, cotto",12,0.8,0.6,51,70,88,1.5,0,0,0.09,0,0.04,0.04,0.9,0.08,14,0,high,USDA FDC buckwheat groats cooked
288,Granola tostata,46,3.1,2.4,100,240,300,14,0,0,2.0,0,0.35,0.12,3.5,0.25,35,0,medium,USDA FDC granola
273,Grissini torinesi,22,1.2,0.7,20,80,120,25,0,0,1.5,0,0.1,0.05,1.4,0.06,22,0,high,CREA 2019
306,Hummus (crema di ceci),38,1.6,1.3,29,110,173,2.6,1,0,0.65,0,0.1,0.06,0.6,0.2,59,0,high,USDA FDC hummus
234,"Kamut (grano khorasan), crudo",22,3.8,3.7,130,364,403,81.3,0,0,0.6,0,0.45,0.12,6.4,0.25,38,0,high,USDA FDC kamut grain
642,"Lasagne fresche, cotte",18,1.0,0.5,15,62,55,15,20,0.2,0.15,0,0.15,0.08,1.2,0.04,8,0.1,medium,CREA 2019 pasta uovo cotta
660,"Lenticchie beluga (nere), cotte",19,3.3,1.3,36,180,369,2.8,1,0,0.11,1.5,0.17,0.07,1.1,0.18,181,0,medium,USDA FDC lentils cooked
291,"Lenticchie rosse, cotte",19,2.5,1.0,22,126,248,1.6,1,0,0.11,0.8,0.11,0.05,0.6,0.18,100,0,high,USDA FDC red lentils cooked
292,"Lenticchie verdi, cotte",19,3.3,1.3,36,180,369,2.8,1,0,0.11,1.5,0.17,0.07,1.1,0.18,181,0,high,USDA FDC lentils cooked
296,"Lupini, lessati",51,1.2,1.0,54,128,245,0.7,1,0,0.2,1.1,0.1,0.06,0.5,0.01,38,0,high,USDA FDC lupins cooked
258,"Miglio, cotto",3,0.6,0.9,44,100,62,0.9,0,0,0.02,0,0.11,0.08,1.3,0.11,19,0,high,USDA FDC millet cooked
231,"Miglio, crudo",8,3.0,1.7,114,285,195,2.7,0,0,0.05,0,0.42,0.29,4.7,0.38,85,0,high,USDA FDC millet raw
824,Minestrone con legumi (piatto pronto),25,1.0,0.5,18,50,200,1,50,0,0.3,5,0.05,0.03,0.5,0.06,30,0,medium,USDA FDC minestrone
287,Muesli senza zucchero aggiunto,50,4.0,2.8,110,310,390,12,0,0,1.5,0,0.4,0.15,4.0,0.3,40,0,high,USDA FDC muesli
650,Muffin all'avena (senza latticini),30,1.8,0.9,35,120,140,8,0,0,0.5,0,0.15,0.08,1.5,0.1,15,0,medium,USDA FDC oat muffin
654,Naan indiano,48,2.0,0.7,20,80,100,16,0,0.1,0.4,0,0.23,0.12,2.4,0.06,20,0,high,USDA FDC naan bread
631,"Orzo mondo (integrale), crudo",33,3.6,2.8,133,264,452,37.7,1,0,0.57,0,0.65,0.29,4.6,0.32,19,0,high,USDA FDC barley hulled
257,"Orzo perlato, cotto",11,1.3,0.8,22,54,93,8.6,0,0,0.01,0,0.08,0.06,2.1,0.12,16,0,high,USDA FDC barley pearled cooked
279,Pancarré di segale,73,2.8,1.6,40,125,166,30,1,0,0.4,0,0.34,0.28,3.4,0.17,51,0,high,USDA FDC rye bread
270,Pane al latte,65,1.0,0.6,18,70,100,15,12,0.1,0.2,0,0.14,0.1,1.4,0.04,20,0,high,CREA 2019 pane latte
645,Pane all'olio,25,1.0,0.6,20,75,105,18,0,0,1.5,0,0.12,0.05,1.5,0.05,25,0,medium,CREA 2019 pane olio
272,Pane azzimo (matza),13,1.2,0.6,19,71,92,27,0,0,0.08,0,0.1,0.05,1.3,0.06,18,0,high,USDA FDC matzo
652,Pane azzimo integrale,30,2.8,1.8,65,200,250,35,0,0,0.5,0,0.3,0.12,3.8,0.18,35,0,medium,USDA FDC whole wheat matzo
268,Pane ciabatta,28,1.1,0.7,22,78,110,22,0,0,0.1,0,0.12,0.05,1.6,0.06,28,0,high,CREA 2019 pane tipo 0
644,Pane con noci,35,1.5,1.0,35,110,180,18,0,0,1.0,0,0.18,0.08,2.2,0.1,30,0,medium,CREA 2019 pane noci
269,Pane di Altamura (semola),19,1.3,0.9,30,100,130,40,0,0,0.3,0,0.2,0.07,2.3,0.08,45,0,high,CREA 2019 pane semola
643,"Pane di kamut, biologico",22,1.8,1.2,40,130,160,30,0,0,0.3,0,0.2,0.06,2.5,0.1,30,0,medium,USDA FDC kamut bread
818,Pane di mais senza glutine,15,0.8,0.4,18,50,70,3,3,0,0.2,0,0.06,0.03,0.8,0.06,8,0,medium,USDA FDC cornbread gf
903,Pane di patate,20,0.8,0.4,15,50,150,5,0,0,0.1,3,0.08,0.03,1.0,0.08,12,0,medium,USDA FDC potato bread
819,Pane di segale compatto (tipo wasa),40,3.0,2.0,55,170,250,30,0,0,0.5,0,0.3,0.2,3.5,0.2,45,0,high,USDA FDC rye crispbread
271,Pane in cassetta (toast),95,1.4,0.8,25,95,125,20,0,0,0.3,0,0.2,0.07,2.0,0.06,30,0,high,CREA 2019 pan carre
283,Pane senza glutine,40,1.2,0.5,15,60,80,3,0,0,0.3,0,0.08,0.04,1.0,0.04,10,0,medium,USDA FDC gf bread
817,Pane tipo pugliese (semola rimacinata),19,1.3,0.9,30,100,130,40,0,0,0.3,0,0.2,0.07,2.3,0.08,45,0,medium,CREA 2019 pane semola
816,Panino al sesamo,70,2.0,1.2,35,120,130,20,0,0,0.5,0,0.2,0.08,2.2,0.08,30,0,medium,USDA FDC sesame bun
822,Passata di ceci (hummus base ridotta),30,1.4,1.1,25,90,150,2,1,0,0.5,0,0.08,0.05,0.5,0.15,50,0,medium,USDA FDC hummus adj
254,"Pasta all'uovo, cotta",7,1.0,0.5,14,66,56,20,12,0.2,0.17,0,0.2,0.08,1.5,0.04,10,0.07,high,CREA 2019
253,"Pasta all'uovo, secca",21,2.8,1.4,41,189,161,57,35,0.5,0.5,0,0.59,0.24,4.5,0.1,29,0.2,high,CREA 2019
813,"Pasta di edamame/soia, secca",130,5.2,3.5,180,380,1100,7,2,0,0.4,0,0.45,0.2,2.0,0.4,250,0,medium,USDA FDC edamame pasta
263,"Pasta di farro, cotta",8,1.2,0.9,40,110,100,3.5,0,0,0.2,0,0.1,0.04,1.8,0.07,12,0,medium,CREA 2019 farro cotto
812,"Pasta di konjac (shirataki, cotta)",43,0.4,0.1,1,6,2,0.1,0,0,0,0,0,0,0,0,0,0,medium,USDA FDC shirataki
264,"Pasta di legumi (ceci/lenticchie), cotta",12,2.2,1.1,16,93,220,2.8,1,0,0.15,0.5,0.17,0.07,0.9,0.18,160,0,medium,USDA FDC legume pasta cooked
898,"Pasta di lenticchie rosse, secca",35,6.5,3.3,47,281,677,8.3,2,0,0.5,1.5,0.5,0.21,2.6,0.54,479,0,medium,USDA FDC lentil pasta
262,"Pasta di riso, cotta",4,0.1,0.3,4,16,4,3.6,0,0,0,0,0.01,0.01,0.2,0.01,1,0,high,USDA FDC rice noodles cooked
638,"Pasta gluten-free riso/mais, cotta",5,0.3,0.3,6,22,10,3,0,0,0.02,0,0.02,0.01,0.3,0.02,2,0,medium,USDA FDC gf pasta cooked
811,"Pasta proteica (+proteine di legumi), secca",40,4.5,2.8,80,300,500,8,0,0,0.4,0,0.4,0.15,3.0,0.35,200,0,medium,USDA FDC protein pasta est
641,"Penne integrali, cotte",15,1.4,1.1,42,89,62,25.8,0,0,0.3,0,0.16,0.06,1.8,0.08,10,0,high,USDA FDC whole wheat pasta cooked
276,Piadina romagnola,30,1.2,0.6,18,70,100,15,0,0,1.0,0,0.12,0.05,1.5,0.05,20,0,high,CREA 2019
293,"Piselli freschi, crudi",25,1.5,1.2,33,108,244,1.8,38,0,0.13,40,0.27,0.13,2.1,0.17,65,0,high,CREA 2019
907,Piselli primavera surgelati (cotti),22,1.3,1.0,30,95,220,1.5,35,0,0.1,15,0.22,0.1,1.8,0.14,55,0,medium,USDA FDC frozen peas cooked
300,"Piselli secchi, cotti",14,1.3,1.0,36,99,362,0.6,7,0,0.03,0.4,0.19,0.06,0.9,0.05,65,0,high,USDA FDC split peas cooked
661,"Piselli spezzati gialli, cotti",14,1.3,1.0,36,99,362,0.6,7,0,0.03,0.4,0.19,0.06,0.9,0.05,65,0,high,USDA FDC yellow split peas cooked
636,"Pop corn (sgonfio, senza grassi)",7,2.7,2.7,131,300,274,0,10,0,0.29,0,0.1,0.08,1.9,0.16,31,0,high,USDA FDC popcorn air-popped
252,"Riso arborio, crudo",6,0.8,1.1,25,94,86,15.1,0,0,0.11,0,0.07,0.02,1.5,0.15,9,0,high,CREA 2019 riso bianco
256,"Riso basmati, cotto",3,0.2,0.4,12,37,35,5.6,0,0,0.04,0,0.02,0.01,0.4,0.05,3,0,high,CREA 2019 riso cotto
249,"Riso basmati, crudo",9,0.8,1.1,32,95,115,15.1,0,0,0.11,0,0.07,0.05,1.6,0.16,8,0,high,CREA 2019 riso
637,"Riso parboiled, cotto",19,0.4,0.5,16,56,54,5.6,0,0,0.05,0,0.08,0.01,1.2,0.1,4,0,high,CREA 2019 riso parboiled
250,"Riso parboiled, crudo",55,1.1,1.3,44,155,150,15,0,0,0.14,0,0.22,0.04,3.5,0.3,11,0,high,CREA 2019
814,"Riso rosso (Camargue), crudo",20,1.5,1.8,110,264,268,23,0,0,0.6,0,0.4,0.09,5.1,0.51,20,0,medium,USDA FDC brown rice adj
261,"Riso venere, cotto",4,0.6,0.7,43,83,79,7.5,0,0,0.35,0,0.12,0.03,1.5,0.15,6,0,medium,USDA FDC black rice cooked
251,"Riso venere, crudo",12,1.8,2.0,143,280,256,23.4,0,0,1.2,0,0.41,0.09,5.1,0.51,20,0,medium,USDA FDC black rice
267,Risotto semplice (burro/parmigiano),60,0.3,0.6,15,55,50,4,50,0.1,0.15,0,0.03,0.04,0.5,0.04,4,0,medium,CREA 2019 riso + parmigiano
647,Schiacciata toscana,22,1.0,0.6,17,68,95,15,0,0,1.8,0,0.1,0.04,1.3,0.05,20,0,medium,CREA 2019 focaccia
230,"Segale, farina integrale",24,2.6,2.7,110,332,510,35.3,0,0,0.96,0,0.32,0.25,4.3,0.29,38,0,high,USDA FDC rye flour dark
635,Semolino di frumento,17,1.2,1.1,47,136,186,63,0,0,0.3,0,0.28,0.08,3.1,0.1,72,0,high,CREA 2019 semola
302,"Soia, farina sgrassata",241,9.2,4.0,290,674,2490,7.5,2,0,0.5,0,0.7,0.25,2.6,0.58,305,0,high,USDA FDC soy flour
662,"Soia, granuli texturizzati secchi (TVP)",199,9.2,3.9,290,620,2200,7,0,0,0.4,0,0.6,0.2,2.5,0.5,280,0,medium,USDA FDC soy protein tvp
902,"Sorgo, cotto",9,1.4,0.6,50,87,117,3.8,0,0,0.15,0,0.08,0.05,1.0,0.13,7,0,medium,USDA FDC sorghum cooked
236,"Sorgo, crudo",28,4.4,1.7,165,287,350,12.2,0,0,0.5,0,0.24,0.14,2.9,0.44,20,0,high,USDA FDC sorghum grain
639,"Spätzle (gnocchetti tirolesi), cotti",15,0.8,0.4,12,55,50,12,18,0.2,0.12,0,0.12,0.07,1.0,0.03,7,0.08,medium,CREA 2019 pasta uovo cotta
285,Taralli pugliesi,20,1.5,0.8,22,85,110,20,0,0,2.5,0,0.12,0.05,1.5,0.06,20,0,medium,CREA 2019 taralli
901,"Teff, cotto",49,2.1,1.1,50,120,120,1.3,0,0,0.02,0,0.11,0.07,1.0,0.14,0,0,medium,USDA FDC teff cooked
235,"Teff, crudo",180,7.6,3.6,184,429,427,4.4,0,0,0.08,0,0.39,0.27,3.4,0.48,0,0,high,USDA FDC teff grain
303,Tempeh (soia fermentata),111,2.7,1.1,81,266,412,0,0,0,0.05,0,0.08,0.36,2.6,0.22,24,0,high,USDA FDC tempeh
304,"Tofu, compatto (firm)",350,5.4,2.0,30,97,121,8.9,0,0,0.01,0,0.07,0.05,0.1,0.05,15,0,high,USDA FDC tofu firm
305,"Tofu, morbido (silken)",111,1.6,0.6,28,76,120,4.6,0,0,0.01,0,0.06,0.03,0.1,0.05,15,0,high,USDA FDC tofu silken
900,Tortilla di farro,25,2.5,1.5,55,170,180,15,0,0,0.4,0,0.25,0.08,3.0,0.12,30,0,medium,CREA 2019 farro stima
277,Tortilla di frumento,120,2.0,0.7,24,100,100,18,0,0,0.6,0,0.25,0.1,2.2,0.06,25,0,high,USDA FDC flour tortilla
278,Tortilla di mais,46,0.9,0.5,31,82,97,3.3,0,0,0.23,0,0.06,0.04,0.6,0.1,1,0,high,USDA FDC corn tortilla
820,Tortino di mais (polenta al forno),5,0.5,0.3,15,35,50,2,5,0,0.15,0,0.04,0.02,0.5,0.05,3,0,medium,CREA 2019 polenta est
233,"Triticale, crudo",37,2.6,3.5,130,358,332,1.2,0,0,0.9,0,0.42,0.13,1.3,0.14,73,0,high,USDA FDC triticale
640,"Trofie, cotte",7,0.5,0.4,13,44,44,20,0,0,0.06,0,0.1,0.02,1.0,0.04,7,0,medium,CREA 2019 pasta cotta
649,Waffle (neutro base),80,1.7,0.7,16,110,130,12,50,0.4,0.4,0,0.18,0.15,1.5,0.05,20,0.2,medium,USDA FDC waffle
909,Zuppa di fagioli neri,20,1.5,0.8,45,90,250,1,5,0,0.1,0.5,0.15,0.04,0.4,0.05,100,0,medium,USDA FDC black bean soup
821,Zuppa di lenticchie (piatto pronto),15,1.8,0.8,20,85,200,1.2,30,0,0.1,2,0.1,0.04,0.5,0.1,80,0,medium,USDA FDC lentil soup
